time,phase,leg,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
4.5045,WALK,FR,-68.071,-63.986,-108.753,-108.013
4.5045,WALK,FL,-110.519,-100.983,-58.346,-58.367
4.5045,WALK,RR,-69.481,-80.132,-121.654,-122.699
4.5045,WALK,RL,-111.929,-115.139,-71.247,-71.879
4.7103,WALK,FR,-77.544,-74.131,-117.210,-115.906
4.7103,WALK,FL,-115.691,-121.007,-75.579,-78.956
4.7103,WALK,RR,-64.309,-61.105,-104.421,-102.972
4.7103,WALK,RL,-102.456,-104.941,-62.790,-62.654
4.9164,WALK,FR,-65.095,-60.871,-105.385,-115.093
4.9164,WALK,FL,-108.756,-113.260,-68.074,-66.132
4.9164,WALK,RR,-71.244,-68.103,-111.926,-113.956
4.9164,WALK,RL,-114.905,-120.256,-74.615,-65.460
5.1232,WALK,FR,-69.278,-65.955,-110.006,-111.121
5.1232,WALK,FL,-115.066,-109.959,-62.427,-64.103
5.1232,WALK,RR,-64.934,-70.722,-117.573,-115.972
5.1232,WALK,RL,-110.722,-114.085,-69.994,-70.775
5.3245,MARCH,FR,-69.635,-67.799,-110.365,-112.479
5.3245,MARCH,FL,-110.365,-113.123,-69.635,-67.324
5.3245,MARCH,RR,-69.635,-67.797,-110.365,-112.926
5.3245,MARCH,RL,-110.365,-112.500,-69.635,-67.397
5.5302,MARCH,FR,-69.635,-56.414,-110.365,-123.204
5.5302,MARCH,FL,-110.365,-113.427,-69.635,-66.828
5.5302,MARCH,RR,-69.635,-67.347,-110.365,-112.949
5.5302,MARCH,RL,-110.365,-123.459,-69.635,-56.822
5.7371,MARCH,FR,-69.635,-67.593,-110.365,-112.688
5.7371,MARCH,FL,-121.473,-113.118,-58.527,-66.972
5.7371,MARCH,RR,-58.527,-67.405,-121.473,-112.805
5.7371,MARCH,RL,-110.365,-112.507,-69.635,-67.249
5.9396,MARCH,FR,-69.635,-67.891,-110.365,-112.209
5.9396,MARCH,FL,-110.365,-113.005,-69.635,-67.396
5.9396,MARCH,RR,-69.635,-67.537,-110.365,-112.860
5.9396,MARCH,RL,-110.365,-112.571,-69.635,-67.421
6.1484,MARCH,FR,-69.635,-56.430,-110.365,-123.174
6.1484,MARCH,FL,-110.365,-113.405,-69.635,-66.745
6.1484,MARCH,RR,-69.635,-67.309,-110.365,-112.921
6.1484,MARCH,RL,-110.365,-123.376,-69.635,-56.811
6.3521,MARCH,FR,-69.635,-67.551,-110.365,-112.679
6.3521,MARCH,FL,-121.473,-113.095,-58.527,-66.995
6.3521,MARCH,RR,-58.527,-67.377,-121.473,-112.791
6.3521,MARCH,RL,-110.365,-112.601,-69.635,-67.306
6.5574,MARCH,FR,-69.635,-67.877,-110.365,-112.396
6.5574,MARCH,FL,-110.365,-112.859,-69.635,-67.338
6.5574,MARCH,RR,-69.635,-67.465,-110.365,-112.819
6.5574,MARCH,RL,-110.365,-112.530,-69.635,-67.345
6.7622,MARCH,FR,-69.635,-56.469,-110.365,-123.259
6.7622,MARCH,FL,-110.365,-113.386,-69.635,-66.775
6.7622,MARCH,RR,-69.635,-67.315,-110.365,-112.935
6.7622,MARCH,RL,-110.365,-123.354,-69.635,-56.804
6.9684,MARCH,FR,-69.635,-67.501,-110.365,-112.632
6.9684,MARCH,FL,-121.473,-113.114,-58.527,-67.014
6.9684,MARCH,RR,-58.527,-67.414,-121.473,-112.805
6.9684,MARCH,RL,-110.365,-112.448,-69.635,-67.274
