time_s,phase,leg,x_setpoint_mm,y_setpoint_mm,z_setpoint_mm,x_actual_mm,y_actual_mm,z_actual_mm,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.2417,WARMUP,FL,179.375,177.0,-220.0,176.743,177.0,-249.001,6.265,6.151,-2.174,-1.881
0.2417,WARMUP,RR,-179.375,-177.0,-220.0,-180.574,-176.986,-244.934,19.01,17.551,-24.528,-21.992
0.2417,WARMUP,RL,-179.375,177.0,-220.0,-181.01,177.014,-246.356,16.145,14.898,-19.544,-17.369
0.2625,WARMUP,FR,179.375,-177.0,-220.0,176.167,-177.0,-248.984,5.163,5.266,-0.229,-0.133
0.2625,WARMUP,FL,179.375,177.0,-220.0,176.143,177.0,-248.913,6.892,6.8,-3.282,-2.794
0.2625,WARMUP,RR,-179.375,-177.0,-220.0,-180.059,-176.975,-240.325,24.664,23.015,-34.241,-31.431
0.2625,WARMUP,RL,-179.375,177.0,-220.0,-180.283,177.026,-243.021,21.292,19.706,-28.47,-25.75
0.2833,WARMUP,FR,179.375,-177.0,-220.0,175.852,-177.001,-248.955,5.025,5.177,0.015,0.099
0.2833,WARMUP,FL,179.375,177.0,-220.0,176.623,176.999,-248.812,8.166,7.841,-5.53,-4.809
0.2833,WARMUP,RR,-179.375,-177.0,-220.0,-179.441,-176.998,-233.848,30.108,28.686,-43.394,-41.03
0.2833,WARMUP,RL,-179.375,177.0,-220.0,-179.699,177.003,-237.534,27.046,25.441,-38.274,-35.561
0.3042,WARMUP,FR,179.375,-177.0,-220.0,176.586,-177.006,-249.012,4.93,4.997,0.182,0.19
0.3042,WARMUP,FL,179.375,177.0,-220.0,177.309,176.994,-248.505,10.084,9.499,-8.911,-7.804
0.3042,WARMUP,RR,-179.375,-177.0,-220.0,-178.962,-177.009,-227.555,34.095,33.176,-49.939,-48.448
0.3042,WARMUP,RL,-179.375,177.0,-220.0,-179.096,176.992,-230.976,31.986,30.768,-46.495,-44.476
0.3208,WARMUP,FR,179.375,-177.0,-220.0,177.635,-177.006,-249.099,5.042,4.963,-0.016,-0.059
0.3208,WARMUP,FL,179.375,177.0,-220.0,177.825,176.994,-248.191,12.268,11.403,-12.754,-11.234
0.3208,WARMUP,RR,-179.375,-177.0,-220.0,-178.897,-176.995,-224.04,36.035,35.49,-53.07,-52.187
0.3208,WARMUP,RL,-179.375,177.0,-220.0,-178.454,177.004,-226.592,34.806,33.907,-51.092,-49.876
0.3417,WARMUP,FR,179.375,-177.0,-220.0,177.239,-176.979,-249.072,5.117,5.047,-0.149,-0.165
0.3417,WARMUP,FL,179.375,177.0,-220.0,178.017,177.023,-247.143,16.144,14.905,-19.543,-17.364
0.3417,WARMUP,RR,-179.375,-177.0,-220.0,-179.093,-176.976,-221.395,37.318,37.066,-55.116,-54.709
0.3417,WARMUP,RL,-179.375,177.0,-220.0,-178.244,177.023,-222.784,36.906,36.381,-54.462,-54.004
0.3625,WARMUP,FR,179.375,-177.0,-220.0,177.217,-176.837,-249.067,5.189,5.184,-0.276,-0.233
0.3625,WARMUP,FL,179.375,177.0,-220.0,178.725,177.163,-243.8,21.322,19.743,-28.521,-25.795
