time,phase,leg,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.2024,MARCH,FR,-69.635,-67.549,-110.365,-112.578
0.2024,MARCH,FL,-121.473,-113.166,-58.527,-66.945
0.2024,MARCH,RR,-58.527,-67.240,-121.473,-112.819
0.2024,MARCH,RL,-110.365,-111.890,-69.635,-67.356
0.4100,MARCH,FR,-69.635,-68.007,-110.365,-112.017
0.4100,MARCH,FL,-110.365,-113.051,-69.635,-67.406
0.4100,MARCH,RR,-69.635,-67.441,-110.365,-112.770
0.4100,MARCH,RL,-110.365,-112.480,-69.635,-67.487
0.6175,MARCH,FR,-69.635,-56.565,-110.365,-123.073
0.6175,MARCH,FL,-110.365,-113.368,-69.635,-66.720
0.6175,MARCH,RR,-69.635,-67.270,-110.365,-112.986
0.6175,MARCH,RL,-110.365,-122.970,-69.635,-56.955
0.8493,MARCH,FR,-69.635,-67.581,-110.365,-112.302
0.8493,MARCH,FL,-121.473,-113.172,-58.527,-66.968
0.8493,MARCH,RR,-58.527,-67.246,-121.473,-112.832
0.8493,MARCH,RL,-110.365,-112.184,-69.635,-67.359
1.0568,MARCH,FR,-69.635,-67.974,-110.365,-112.022
1.0568,MARCH,FL,-110.365,-113.046,-69.635,-67.346
1.0568,MARCH,RR,-69.635,-67.435,-110.365,-112.828
1.0568,MARCH,RL,-110.365,-112.448,-69.635,-67.504
1.2606,MARCH,FR,-69.635,-56.510,-110.365,-123.204
1.2606,MARCH,FL,-110.365,-113.364,-69.635,-66.720
1.2606,MARCH,RR,-69.635,-67.265,-110.365,-113.000
1.2606,MARCH,RL,-110.365,-123.420,-69.635,-56.820
1.4736,MARCH,FR,-69.635,-67.606,-110.365,-112.349
1.4736,MARCH,FL,-121.473,-113.155,-58.527,-66.970
1.4736,MARCH,RR,-58.527,-67.265,-121.473,-112.839
1.4736,MARCH,RL,-110.365,-112.321,-69.635,-67.373
1.6719,MARCH,FR,-69.635,-67.905,-110.365,-112.028
1.6719,MARCH,FL,-110.365,-113.088,-69.635,-67.412
1.6719,MARCH,RR,-69.635,-67.384,-110.365,-112.877
1.6719,MARCH,RL,-110.365,-112.324,-69.635,-67.419
1.8828,MARCH,FR,-69.635,-56.494,-110.365,-123.229
1.8828,MARCH,FL,-110.365,-113.381,-69.635,-66.756
1.8828,MARCH,RR,-69.635,-67.237,-110.365,-112.993
1.8828,MARCH,RL,-110.365,-123.310,-69.635,-56.891
2.0893,WALK,FR,-68.071,-66.246,-108.753,-108.331
2.0893,WALK,FL,-110.519,-101.074,-58.346,-58.000
2.0893,WALK,RR,-69.481,-77.939,-121.654,-122.067
2.0893,WALK,RL,-111.929,-113.831,-71.247,-71.204
2.3019,WALK,FR,-79.474,-74.220,-118.600,-116.140
2.3019,WALK,FL,-116.798,-121.074,-76.997,-77.764
2.3019,WALK,RR,-63.202,-58.765,-103.003,-102.481
2.3019,WALK,RL,-100.526,-105.320,-61.400,-62.376
2.4993,WALK,FR,-59.682,-58.205,-97.934,-111.594
2.4993,WALK,FL,-106.524,-112.296,-66.061,-65.646
2.4993,WALK,RR,-73.476,-68.444,-113.939,-114.192
2.4993,WALK,RL,-120.318,-121.896,-82.066,-67.910
2.7066,WALK,FR,-68.071,-64.005,-108.753,-107.921
2.7066,WALK,FL,-110.519,-100.725,-58.346,-56.899
2.7066,WALK,RR,-69.481,-79.946,-121.654,-122.770
2.7066,WALK,RL,-111.929,-116.279,-71.247,-72.876
2.9146,WALK,FR,-79.474,-74.324,-118.600,-116.686
2.9146,WALK,FL,-116.798,-121.335,-76.997,-78.410
2.9146,WALK,RR,-63.202,-58.712,-103.003,-102.146
2.9146,WALK,RL,-100.526,-105.391,-61.400,-62.741
3.1251,WALK,FR,-59.682,-58.150,-97.934,-111.350
3.1251,WALK,FL,-106.524,-112.263,-66.061,-65.589
3.1251,WALK,RR,-73.476,-68.468,-113.939,-114.156
3.1251,WALK,RL,-120.318,-122.236,-82.066,-68.281
3.3264,WALK,FR,-68.071,-64.016,-108.753,-107.515
3.3264,WALK,FL,-110.519,-100.694,-58.346,-56.915
3.3264,WALK,RR,-69.481,-79.987,-121.654,-122.756
3.3264,WALK,RL,-111.929,-116.331,-71.247,-72.954
3.5330,WALK,FR,-79.474,-74.392,-118.600,-117.260
3.5330,WALK,FL,-116.798,-121.486,-76.997,-78.314
3.5330,WALK,RR,-63.202,-58.600,-103.003,-102.468
3.5330,WALK,RL,-100.526,-105.575,-61.400,-62.346
3.7380,WALK,FR,-59.682,-58.123,-97.934,-111.341
3.7380,WALK,FL,-106.524,-112.266,-66.061,-65.621
3.7380,WALK,RR,-73.476,-68.460,-113.939,-114.170
3.7380,WALK,RL,-120.318,-122.522,-82.066,-68.611
3.9496,WALK,FR,-68.071,-63.984,-108.753,-107.595
3.9496,WALK,FL,-110.519,-100.677,-58.346,-56.915
3.9496,WALK,RR,-69.481,-79.912,-121.654,-122.767
3.9496,WALK,RL,-111.929,-116.331,-71.247,-73.055
4.1507,WALK,FR,-79.474,-74.354,-118.600,-116.936
4.1507,WALK,FL,-116.798,-121.448,-76.997,-78.156
4.1507,WALK,RR,-63.202,-58.674,-103.003,-102.213
4.1507,WALK,RL,-100.526,-105.416,-61.400,-62.511
4.3596,WALK,FR,-59.682,-58.559,-97.934,-111.355
4.3596,WALK,FL,-106.524,-112.299,-66.061,-65.722
4.3596,WALK,RR,-73.476,-68.435,-113.939,-113.979
4.3596,WALK,RL,-120.318,-121.270,-82.066,-67.246
4.5667,WALK,FR,-68.071,-64.044,-108.753,-107.400
4.5667,WALK,FL,-110.519,-100.664,-58.346,-56.929
