time,phase,leg,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
4.5667,WALK,RR,-69.481,-79.912,-121.654,-122.756
4.5667,WALK,RL,-111.929,-116.345,-71.247,-73.409
4.7707,WALK,FR,-76.084,-73.256,-116.091,-116.642
4.7707,WALK,FL,-114.806,-119.904,-74.497,-76.297
4.7707,WALK,RR,-65.194,-60.078,-105.503,-104.668
4.7707,WALK,RL,-103.916,-106.825,-63.909,-62.943
4.9828,WALK,FR,-65.850,-61.770,-106.280,-115.569
4.9828,WALK,FL,-109.038,-112.987,-68.341,-65.809
4.9828,WALK,RR,-70.962,-67.540,-111.659,-113.390
4.9828,WALK,RL,-114.150,-119.935,-73.720,-64.996
5.1790,MARCH,FR,-69.635,-66.501,-110.365,-110.525
5.1790,MARCH,FL,-121.473,-110.569,-58.527,-64.657
5.1790,MARCH,RR,-58.527,-69.552,-121.473,-115.302
5.1790,MARCH,RL,-110.365,-113.546,-69.635,-71.004
5.3867,MARCH,FR,-69.635,-68.147,-110.365,-112.130
5.3867,MARCH,FL,-110.365,-113.101,-69.635,-67.259
5.3867,MARCH,RR,-69.635,-67.513,-110.365,-112.864
5.3867,MARCH,RL,-110.365,-111.745,-69.635,-67.517
5.5977,MARCH,FR,-69.635,-56.644,-110.365,-123.289
5.5977,MARCH,FL,-110.365,-113.521,-69.635,-66.805
5.5977,MARCH,RR,-69.635,-67.213,-110.365,-113.014
5.5977,MARCH,RL,-110.365,-122.734,-69.635,-57.458
5.8052,MARCH,FR,-69.635,-67.653,-110.365,-112.550
5.8052,MARCH,FL,-121.473,-113.172,-58.527,-66.968
5.8052,MARCH,RR,-58.527,-67.249,-121.473,-112.825
5.8052,MARCH,RL,-110.365,-112.175,-69.635,-67.323
6.0161,MARCH,FR,-69.635,-67.974,-110.365,-112.099
6.0161,MARCH,FL,-110.365,-113.010,-69.635,-67.410
6.0161,MARCH,RR,-69.635,-67.469,-110.365,-112.819
6.0161,MARCH,RL,-110.365,-112.257,-69.635,-67.515
6.2176,MARCH,FR,-69.635,-56.538,-110.365,-123.126
6.2176,MARCH,FL,-110.365,-113.377,-69.635,-66.739
6.2176,MARCH,RR,-69.635,-67.267,-110.365,-112.976
6.2176,MARCH,RL,-110.365,-123.257,-69.635,-56.903
6.4266,MARCH,FR,-69.635,-67.579,-110.365,-112.220
6.4266,MARCH,FL,-121.473,-113.172,-58.527,-66.984
6.4266,MARCH,RR,-58.527,-67.265,-121.473,-112.839
6.4266,MARCH,RL,-110.365,-112.289,-69.635,-67.370
6.6331,MARCH,FR,-69.635,-67.894,-110.365,-112.130
6.6331,MARCH,FL,-110.365,-113.114,-69.635,-67.338
6.6331,MARCH,RR,-69.635,-67.366,-110.365,-112.905
6.6331,MARCH,RL,-110.365,-112.456,-69.635,-67.441
6.8369,MARCH,FR,-69.635,-56.494,-110.365,-123.124
6.8369,MARCH,FL,-110.365,-113.531,-69.635,-66.759
6.8369,MARCH,RR,-69.635,-67.276,-110.365,-113.006
6.8369,MARCH,RL,-110.365,-123.344,-69.635,-56.900
7.0438,MARCH,FR,-69.635,-67.604,-110.365,-112.366
7.0438,MARCH,FL,-121.473,-113.166,-58.527,-66.986
7.0438,MARCH,RR,-58.527,-67.274,-121.473,-112.825
7.0438,MARCH,RL,-110.365,-112.340,-69.635,-67.364
