time,phase,leg,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.1981,MARCH,FR,-69.635,-68.221,-110.365,-111.410
0.1981,MARCH,FL,-121.473,-111.345,-58.527,-67.998
0.1981,MARCH,RR,-58.527,-68.767,-121.473,-111.896
0.1981,MARCH,RL,-110.365,-111.654,-69.635,-68.263
0.4016,MARCH,FR,-69.635,-68.263,-110.365,-111.380
0.4016,MARCH,FL,-110.365,-108.936,-69.635,-71.111
0.4016,MARCH,RR,-69.635,-71.188,-110.365,-108.845
0.4016,MARCH,RL,-110.365,-111.654,-69.635,-68.243
0.6077,MARCH,FR,-69.635,-56.474,-110.365,-123.140
0.6077,MARCH,FL,-110.365,-108.920,-69.635,-71.106
0.6077,MARCH,RR,-69.635,-71.195,-110.365,-108.834
0.6077,MARCH,RL,-110.365,-123.344,-69.635,-56.809
0.8159,MARCH,FR,-69.635,-71.056,-110.365,-108.983
0.8159,MARCH,FL,-121.473,-108.915,-58.527,-71.106
0.8159,MARCH,RR,-58.527,-71.185,-121.473,-108.845
0.8159,MARCH,RL,-110.365,-109.168,-69.635,-71.017
1.0188,MARCH,FR,-69.635,-70.942,-110.365,-108.993
1.0188,MARCH,FL,-110.365,-108.912,-69.635,-71.125
1.0188,MARCH,RR,-69.635,-71.195,-110.365,-108.829
1.0188,MARCH,RL,-110.365,-109.190,-69.635,-71.009
1.2251,MARCH,FR,-69.635,-56.600,-110.365,-123.213
1.2251,MARCH,FL,-110.365,-108.909,-69.635,-71.131
1.2251,MARCH,RR,-69.635,-71.179,-110.365,-108.836
1.2251,MARCH,RL,-110.365,-123.381,-69.635,-56.790
1.4314,MARCH,FR,-69.635,-70.915,-110.365,-108.985
1.4314,MARCH,FL,-121.473,-108.920,-58.527,-71.120
1.4314,MARCH,RR,-58.527,-71.185,-121.473,-108.847
1.4314,MARCH,RL,-110.365,-109.157,-69.635,-71.009
1.6358,MARCH,FR,-69.635,-70.899,-110.365,-108.960
1.6358,MARCH,FL,-110.365,-108.912,-69.635,-71.118
1.6358,MARCH,RR,-69.635,-71.195,-110.365,-108.836
1.6358,MARCH,RL,-110.365,-109.204,-69.635,-71.011
1.8435,MARCH,FR,-69.635,-56.639,-110.365,-123.162
1.8435,MARCH,FL,-110.365,-108.920,-69.635,-71.120
1.8435,MARCH,RR,-69.635,-71.181,-110.365,-108.850
1.8435,MARCH,RL,-110.365,-123.346,-69.635,-56.781
2.0480,WALK,FR,-68.071,-71.022,-108.753,-108.971
2.0480,WALK,FL,-110.519,-108.918,-58.346,-71.120
2.0480,WALK,RR,-69.481,-71.171,-121.654,-108.854
2.0480,WALK,RL,-111.929,-109.165,-71.247,-71.014
2.2522,WALK,FR,-79.474,-75.252,-118.600,-114.830
2.2522,WALK,FL,-116.798,-119.844,-76.997,-81.785
2.2522,WALK,RR,-63.202,-60.906,-103.003,-98.650
2.2522,WALK,RL,-100.526,-104.524,-61.400,-65.480
2.4617,WALK,FR,-59.682,-58.391,-97.934,-112.468
2.4617,WALK,FL,-106.524,-110.404,-66.061,-69.991
2.4617,WALK,RR,-73.476,-69.809,-113.939,-110.355
2.4617,WALK,RL,-120.318,-122.115,-82.066,-67.817
2.6633,WALK,FR,-68.071,-64.730,-108.753,-104.562
2.6633,WALK,FL,-110.519,-98.785,-58.346,-61.139
2.6633,WALK,RR,-69.481,-81.918,-121.654,-119.666
2.6633,WALK,RL,-111.929,-114.785,-71.247,-75.475
2.8658,WALK,FR,-79.474,-75.541,-118.600,-114.998
2.8658,WALK,FL,-116.798,-120.002,-76.997,-81.709
2.8658,WALK,RR,-63.202,-60.256,-103.003,-98.699
2.8658,WALK,RL,-100.526,-104.427,-61.400,-65.441
3.0700,WALK,FR,-59.682,-58.432,-97.934,-112.314
3.0700,WALK,FL,-106.524,-110.296,-66.061,-69.934
3.0700,WALK,RR,-73.476,-69.839,-113.939,-110.369
3.0700,WALK,RL,-120.318,-122.140,-82.066,-67.957
3.2741,WALK,FR,-68.071,-64.739,-108.753,-104.615
3.2741,WALK,FL,-110.519,-98.948,-58.346,-61.155
3.2741,WALK,RR,-69.481,-81.874,-121.654,-119.653
3.2741,WALK,RL,-111.929,-114.865,-71.247,-75.457
3.4789,WALK,FR,-79.474,-75.521,-118.600,-115.035
3.4789,WALK,FL,-116.798,-119.968,-76.997,-81.645
3.4789,WALK,RR,-63.202,-60.910,-103.003,-98.957
3.4789,WALK,RL,-100.526,-104.354,-61.400,-65.356
3.6825,WALK,FR,-59.682,-58.416,-97.934,-111.882
3.6825,WALK,FL,-106.524,-110.214,-66.061,-69.787
3.6825,WALK,RR,-73.476,-69.820,-113.939,-110.263
3.6825,WALK,RL,-120.318,-122.074,-82.066,-68.609
3.8874,WALK,FR,-68.071,-64.705,-108.753,-104.571
3.8874,WALK,FL,-110.519,-98.991,-58.346,-61.200
3.8874,WALK,RR,-69.481,-81.692,-121.654,-119.609
3.8874,WALK,RL,-111.929,-114.903,-71.247,-75.478
4.0931,WALK,FR,-79.474,-75.544,-118.600,-115.055
4.0931,WALK,FL,-116.798,-119.964,-76.997,-81.716
4.0931,WALK,RR,-63.202,-59.646,-103.003,-98.735
4.0931,WALK,RL,-100.526,-104.391,-61.400,-65.453
4.2990,WALK,FR,-59.682,-58.366,-97.934,-112.424
4.2990,WALK,FL,-106.524,-110.388,-66.061,-69.978
4.2990,WALK,RR,-73.476,-69.882,-113.939,-110.407
4.2990,WALK,RL,-120.318,-121.816,-82.066,-67.630
4.5034,WALK,FR,-68.071,-64.695,-108.753,-104.528
4.5034,WALK,FL,-110.519,-98.769,-58.346,-61.150
4.5034,WALK,RR,-69.481,-81.869,-121.654,-119.689
4.5034,WALK,RL,-111.929,-115.032,-71.247,-75.560
4.7101,WALK,FR,-77.536,-75.346,-117.204,-114.906
4.7101,WALK,FL,-115.686,-119.412,-75.572,-80.808
4.7101,WALK,RR,-64.314,-61.105,-104.428,-99.690
4.7101,WALK,RL,-102.464,-104.754,-62.796,-65.843
4.9159,WALK,FR,-65.089,-60.555,-105.378,-115.362
4.9159,WALK,FL,-108.754,-111.131,-68.072,-70.703
4.9159,WALK,RR,-71.246,-69.139,-111.928,-109.397
4.9159,WALK,RL,-114.911,-120.309,-74.622,-64.820
5.1238,WALK,FR,-69.279,-67.559,-110.007,-107.368
5.1238,WALK,FL,-115.069,-109.108,-62.431,-68.925
5.1238,WALK,RR,-64.931,-71.522,-117.569,-111.635
5.1238,WALK,RL,-110.721,-112.374,-69.993,-72.918
5.3291,MARCH,FR,-69.635,-68.366,-110.365,-108.384
5.3291,MARCH,FL,-110.365,-108.920,-69.635,-71.118
5.3291,MARCH,RR,-69.635,-71.192,-110.365,-108.847
5.3291,MARCH,RL,-110.365,-111.585,-69.635,-71.871
5.5337,MARCH,FR,-69.635,-56.483,-110.365,-123.254
5.5337,MARCH,FL,-110.365,-108.926,-69.635,-71.111
5.5337,MARCH,RR,-69.635,-71.181,-110.365,-108.834
5.5337,MARCH,RL,-110.365,-123.511,-69.635,-56.719
5.7378,MARCH,FR,-69.635,-71.017,-110.365,-108.987
5.7378,MARCH,FL,-121.473,-108.922,-58.527,-71.109
5.7378,MARCH,RR,-58.527,-71.190,-121.473,-108.831
5.7378,MARCH,RL,-110.365,-109.176,-69.635,-70.998
5.9435,MARCH,FR,-69.635,-70.954,-110.365,-108.976
5.9435,MARCH,FL,-110.365,-108.909,-69.635,-71.104
5.9435,MARCH,RR,-69.635,-71.185,-110.365,-108.847
5.9435,MARCH,RL,-110.365,-109.190,-69.635,-70.986
6.1484,MARCH,FR,-69.635,-56.554,-110.365,-123.190
6.1484,MARCH,FL,-110.365,-108.909,-69.635,-71.111
6.1484,MARCH,RR,-69.635,-71.188,-110.365,-108.831
6.1484,MARCH,RL,-110.365,-123.502,-69.635,-56.765
6.3531,MARCH,FR,-69.635,-71.036,-110.365,-108.999
6.3531,MARCH,FL,-121.473,-108.906,-58.527,-71.111
6.3531,MARCH,RR,-58.527,-71.192,-121.473,-108.843
6.3531,MARCH,RL,-110.365,-109.162,-69.635,-71.011
6.5576,MARCH,FR,-69.635,-70.929,-110.365,-108.976
6.5576,MARCH,FL,-110.365,-108.909,-69.635,-71.125
6.5576,MARCH,RR,-69.635,-71.190,-110.365,-108.845
6.5576,MARCH,RL,-110.365,-109.201,-69.635,-71.014
6.7607,MARCH,FR,-69.635,-56.625,-110.365,-123.119
6.7607,MARCH,FL,-110.365,-108.915,-69.635,-71.111
6.7607,MARCH,RR,-69.635,-71.192,-110.365,-108.854
6.7607,MARCH,RL,-110.365,-123.184,-69.635,-56.875
6.9670,MARCH,FR,-69.635,-71.036,-110.365,-108.996
6.9670,MARCH,FL,-121.473,-108.906,-58.527,-71.093
6.9670,MARCH,RR,-58.527,-71.188,-121.473,-108.847
6.9670,MARCH,RL,-110.365,-109.165,-69.635,-71.011
