time,target_y,current_y,error,v_y,step_length,FR_idx,FL_idx,RR_idx,RL_idx
0.184,100.0,9.2,90.8,+50.00,9.87,10,25,25,10
0.400,100.0,20.0,80.0,+50.00,9.87,20,5,5,20
0.606,100.0,30.3,69.7,+50.00,9.87,0,15,15,0
0.811,100.0,40.5,59.5,+50.00,9.87,10,25,25,10
1.020,100.0,51.0,49.0,+50.00,9.87,20,5,5,20
1.236,100.0,60.6,39.4,+40.38,7.97,0,15,15,0
1.444,100.0,68.1,31.9,+32.57,6.43,10,25,25,10
1.650,100.0,74.1,25.9,+26.46,5.22,20,5,5,20
1.859,100.0,79.0,21.0,+21.41,4.23,0,15,15,0
2.073,100.0,83.1,16.9,+17.26,3.41,10,25,25,10
2.280,100.0,86.3,13.7,+13.99,2.76,20,5,5,20
2.486,100.0,88.9,11.1,+11.38,2.25,0,15,15,0
