time,phase,leg,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.1961,MARCH,FR,-69.635,-68.084,-110.365,-111.578
0.1961,MARCH,FL,-121.473,-111.472,-58.527,-67.972
0.1961,MARCH,RR,-58.527,-68.800,-121.473,-111.786
0.1961,MARCH,RL,-110.365,-111.585,-69.635,-68.331
0.4054,MARCH,FR,-69.635,-68.109,-110.365,-111.552
0.4054,MARCH,FL,-110.365,-108.858,-69.635,-71.221
0.4054,MARCH,RR,-69.635,-71.201,-110.365,-108.845
0.4054,MARCH,RL,-110.365,-111.588,-69.635,-68.339
0.6100,MARCH,FR,-69.635,-56.430,-110.365,-123.149
0.6100,MARCH,FL,-110.365,-108.879,-69.635,-71.211
0.6100,MARCH,RR,-69.635,-71.162,-110.365,-108.850
0.6100,MARCH,RL,-110.365,-123.252,-69.635,-56.740
0.8163,MARCH,FR,-69.635,-71.165,-110.365,-108.960
0.8163,MARCH,FL,-121.473,-108.876,-58.527,-71.214
0.8163,MARCH,RR,-58.527,-71.192,-121.473,-108.847
0.8163,MARCH,RL,-110.365,-109.206,-69.635,-71.017
1.0213,MARCH,FR,-69.635,-71.171,-110.365,-108.963
1.0213,MARCH,FL,-110.365,-108.846,-69.635,-71.191
1.0213,MARCH,RR,-69.635,-71.174,-110.365,-108.845
1.0213,MARCH,RL,-110.365,-109.218,-69.635,-71.025
1.2285,MARCH,FR,-69.635,-56.576,-110.365,-123.204
1.2285,MARCH,FL,-110.365,-108.876,-69.635,-71.205
1.2285,MARCH,RR,-69.635,-71.165,-110.365,-108.843
1.2285,MARCH,RL,-110.365,-123.264,-69.635,-56.767
1.4444,MARCH,FR,-69.635,-71.135,-110.365,-108.955
1.4444,MARCH,FL,-121.473,-108.879,-58.527,-71.214
1.4444,MARCH,RR,-58.527,-71.171,-121.473,-108.847
1.4444,MARCH,RL,-110.365,-109.209,-69.635,-71.025
1.6462,MARCH,FR,-69.635,-71.138,-110.365,-108.963
1.6462,MARCH,FL,-110.365,-108.844,-69.635,-71.200
1.6462,MARCH,RR,-69.635,-71.185,-110.365,-108.831
1.6462,MARCH,RL,-110.365,-109.229,-69.635,-71.009
1.8522,MARCH,FR,-69.635,-56.682,-110.365,-123.045
1.8522,MARCH,FL,-110.365,-108.846,-69.635,-71.198
1.8522,MARCH,RR,-69.635,-71.176,-110.365,-108.836
1.8522,MARCH,RL,-110.365,-123.002,-69.635,-56.960
2.0616,WALK,FR,-68.071,-71.146,-108.753,-108.955
2.0616,WALK,FL,-110.519,-108.844,-58.346,-71.198
2.0616,WALK,RR,-69.481,-71.185,-121.654,-108.847
2.0616,WALK,RL,-111.929,-109.176,-71.247,-71.011
2.2701,WALK,FR,-79.474,-75.285,-118.600,-115.016
2.2701,WALK,FL,-116.798,-119.461,-76.997,-81.558
