time,phase,leg,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.2069,MARCH,FR,-69.635,-67.677,-110.365,-112.571
0.2069,MARCH,FL,-121.473,-113.189,-58.527,-66.934
0.2069,MARCH,RR,-58.527,-67.251,-121.473,-112.825
0.2069,MARCH,RL,-110.365,-111.681,-69.635,-67.377
0.4124,MARCH,FR,-69.635,-68.021,-110.365,-111.858
0.4124,MARCH,FL,-110.365,-113.032,-69.635,-67.456
0.4124,MARCH,RR,-69.635,-67.449,-110.365,-112.832
0.4124,MARCH,RL,-110.365,-112.401,-69.635,-67.386
0.6227,MARCH,FR,-69.635,-56.504,-110.365,-123.314
0.6227,MARCH,FL,-110.365,-113.336,-69.635,-66.698
0.6227,MARCH,RR,-69.635,-67.265,-110.365,-112.972
0.6227,MARCH,RL,-110.365,-123.594,-69.635,-56.873
0.8518,MARCH,FR,-69.635,-67.996,-110.365,-112.502
0.8518,MARCH,FL,-121.473,-113.155,-58.527,-66.918
0.8518,MARCH,RR,-58.527,-67.251,-121.473,-112.816
0.8518,MARCH,RL,-110.365,-112.165,-69.635,-67.370
1.0618,MARCH,FR,-69.635,-67.884,-110.365,-111.855
1.0618,MARCH,FL,-110.365,-113.106,-69.635,-67.438
1.0618,MARCH,RR,-69.635,-67.400,-110.365,-112.877
1.0618,MARCH,RL,-110.365,-112.308,-69.635,-67.416
1.2670,MARCH,FR,-69.635,-56.504,-110.365,-123.144
1.2670,MARCH,FL,-110.365,-113.515,-69.635,-66.759
1.2670,MARCH,RR,-69.635,-67.274,-110.365,-112.979
1.2670,MARCH,RL,-110.365,-123.388,-69.635,-56.836
1.4688,MARCH,FR,-69.635,-67.669,-110.365,-112.151
1.4688,MARCH,FL,-121.473,-113.169,-58.527,-66.961
1.4688,MARCH,RR,-58.527,-67.237,-121.473,-112.828
1.4688,MARCH,RL,-110.365,-112.321,-69.635,-67.384
1.6743,MARCH,FR,-69.635,-67.889,-110.365,-111.855
1.6743,MARCH,FL,-110.365,-113.097,-69.635,-67.424
1.6743,MARCH,RR,-69.635,-67.414,-110.365,-112.864
1.6743,MARCH,RL,-110.365,-112.101,-69.635,-67.479
1.8786,MARCH,FR,-69.635,-56.499,-110.365,-123.168
1.8786,MARCH,FL,-110.365,-113.505,-69.635,-66.729
1.8786,MARCH,RR,-69.635,-67.254,-110.365,-112.990
1.8786,MARCH,RL,-110.365,-123.310,-69.635,-56.875
2.0884,WALK,FR,-68.071,-67.104,-108.753,-108.397
2.0884,WALK,FL,-110.519,-102.086,-58.346,-58.846
2.0884,WALK,RR,-69.481,-76.806,-121.654,-121.095
