time,phase,leg,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.1956,MARCH,FR,-69.635,-67.631,-110.365,-112.506
0.1956,MARCH,FL,-121.473,-113.134,-58.527,-66.954
0.1956,MARCH,RR,-58.527,-67.263,-121.473,-112.805
0.1956,MARCH,RL,-110.365,-111.649,-69.635,-67.441
0.4043,MARCH,FR,-69.635,-68.001,-110.365,-111.869
0.4043,MARCH,FL,-110.365,-112.969,-69.635,-67.456
0.4043,MARCH,RR,-69.635,-67.356,-110.365,-112.864
0.4043,MARCH,RL,-110.365,-112.275,-69.635,-67.391
0.6123,MARCH,FR,-69.635,-56.565,-110.365,-123.066
0.6123,MARCH,FL,-110.365,-113.521,-69.635,-66.711
0.6123,MARCH,RR,-69.635,-67.276,-110.365,-112.963
0.6123,MARCH,RL,-110.365,-123.442,-69.635,-56.733
0.8402,MARCH,FR,-69.635,-67.634,-110.365,-112.050
0.8402,MARCH,FL,-121.473,-113.207,-58.527,-66.910
0.8402,MARCH,RR,-58.527,-67.270,-121.473,-112.828
0.8402,MARCH,RL,-110.365,-112.203,-69.635,-67.356
1.0440,MARCH,FR,-69.635,-67.840,-110.365,-111.938
1.0440,MARCH,FL,-110.365,-113.074,-69.635,-67.371
1.0440,MARCH,RR,-69.635,-67.483,-110.365,-112.858
1.0440,MARCH,RL,-110.365,-112.165,-69.635,-67.595
1.2474,MARCH,FR,-69.635,-56.419,-110.365,-123.192
1.2474,MARCH,FL,-110.365,-113.384,-69.635,-66.718
1.2474,MARCH,RR,-69.635,-67.270,-110.365,-113.000
1.2474,MARCH,RL,-110.365,-123.351,-69.635,-56.841
1.4508,MARCH,FR,-69.635,-68.004,-110.365,-112.564
1.4508,MARCH,FL,-121.473,-113.164,-58.527,-66.984
1.4508,MARCH,RR,-58.527,-67.270,-121.473,-112.816
1.4508,MARCH,RL,-110.365,-112.365,-69.635,-67.343
1.6555,MARCH,FR,-69.635,-67.935,-110.365,-112.044
1.6555,MARCH,FL,-110.365,-113.067,-69.635,-67.448
1.6555,MARCH,RR,-69.635,-67.455,-110.365,-112.855
1.6555,MARCH,RL,-110.365,-112.252,-69.635,-67.513
1.8598,MARCH,FR,-69.635,-56.501,-110.365,-123.165
1.8598,MARCH,FL,-110.365,-113.521,-69.635,-66.770
1.8598,MARCH,RR,-69.635,-67.265,-110.365,-112.990
1.8598,MARCH,RL,-110.365,-123.261,-69.635,-56.818
2.0662,WALK,FR,-68.071,-67.241,-108.753,-110.039
2.0662,WALK,FL,-110.519,-108.264,-58.346,-61.614
2.0662,WALK,RR,-69.481,-72.752,-121.654,-119.299
2.0662,WALK,RL,-111.929,-112.453,-71.247,-69.522
